Report_title,Reporter_name,Incident_date,Day,time,Place,City,District,street,loot,loot_description,is_camera,loot_methodology,estemated_loot_value,Accused,weapon_existens,Accuseds_number,Accused_description,skin_colour,Nationality,Age,known_vehicle,accused_body,Report_content
حادثة سرقة قصر,نورة القعود,03/10/2021,Sunday,19:24,قصر,الرياض, المعيزلية, الأمير نايف بن عبد العزيز,مبلغ مادي,المبلغ 21955,لا,وجود مفتاح ," $21,955.00 ",مشكوك فيه,لا,معروف,لا,حنطية,غير معروف,50+,لا,,أنا نورة القعود أرغب بالتبليغ عن حادثة سرقة قصر تمت السرقة في تاريخ 44472 الوقت 19:24 في حي المعيزلية شارع الأمير نايف بن عبد العزيز تمت سرقة مبلغ مادي بقيمة 21955 ريال سعودي
حادثة سرقة استراحة,تركي القطحاني,08/11/2021,Monday,20:16,استراحة,الرياض, الياسمين, الملك عبد الله,مبلغ مادي,المبلغ 97499,لا,كسر الباب," $97,499.00 ",مجهول,نعم,معروف,لا,حنطية,مصري,33-50,لا,,أنا تركي القطحاني أرغب بالتبليغ عن حادثة سرقة استراحة تمت السرقة في تاريخ 44508 الوقت 20:16 في حي الياسمين شارع الملك عبد الله تمت سرقة مبلغ مادي بقيمة 97499 ريال سعودي
حادثة سرقة شقة,نورة الخميسي,17/07/2021,Saturday,3:10,شقة,الرياض, الملك عبد الله, الأمير بدر بن عبد العزيز,ذهب,"النوع خاتم, العيار ",لا,غير معروف," $33,019.00 ",مشكوك فيه,نعم,معروف,نعم,بيضاء,باكستاني,21-26,لا,,أنا نورة الخميسي أرغب بالتبليغ عن حادثة سرقة شقة تمت السرقة في تاريخ 44394 الوقت 03:10 في حي الملك عبد الله شارع الأمير بدر بن عبد العزيز تمت سرقة ذهب بقيمة 33019 ريال سعودي
حادثة سرقة شقة,سعد الخميسي,08/01/2022,Saturday,16:25,شقة,الرياض, الخليج, العليا,ذهب,"النوع خاتم, العيار ",لا,غير معروف," $58,435.00 ",مشكوك فيه,نعم,معروف,لا,بيضاء,مصري,50+,نعم,,أنا سعد الخميسي أرغب بالتبليغ عن حادثة سرقة شقة تمت السرقة في تاريخ 44569 الوقت 16:25 في حي الخليج شارع العليا تمت سرقة ذهب بقيمة 58435 ريال سعودي
حادثة سرقة استراحة,منى  العقيل,02/01/2022,Sunday,19:49,استراحة,الرياض, القادسية, الملك خالد,سيارة,"النوع سيدان, اللون أبيض",لا,غير معروف," $28,396.00 ",مجهول,نعم,معروف,نعم,حنطية,غير معروف,33-50,لا,,أنا منى  العقيل أرغب بالتبليغ عن حادثة سرقة استراحة تمت السرقة في تاريخ 44563 الوقت 19:49 في حي القادسية شارع الملك خالد تمت سرقة سيارة بقيمة 28396 ريال سعودي
حادثة سرقة منزل,تركي المشيقح,15/07/2021,Thursday,18:56,منزل,الرياض, الوادي, عثمان بن عفان,مبلغ مادي,المبلغ 82555,نعم,غير معروف," $82,555.00 ",معروف,لا,معروف,لا,حنطية,سعودي,27-32,نعم,,أنا تركي المشيقح أرغب بالتبليغ عن حادثة سرقة منزل تمت السرقة في تاريخ 44392 الوقت 18:56 في حي الوادي شارع عثمان بن عفان تمت سرقة مبلغ مادي بقيمة 82555 ريال سعودي
حادثة سرقة استراحة,عبدالله الجريش,12/12/2021,Sunday,13:35,استراحة,الرياض, الغدير, الأمير سعود بن محمد بن مقرن,ذهب,"النوع خاتم, العيار ",لا,غير معروف," $94,795.00 ",معروف,لا,مجهول,لا,بيضاء,غير معروف,21-26,لا,,أنا عبدالله الجريش أرغب بالتبليغ عن حادثة سرقة استراحة تمت السرقة في تاريخ 44542 الوقت 13:35 في حي الغدير شارع الأمير سعود بن محمد بن مقرن تمت سرقة ذهب بقيمة 94795 ريال سعودي
حادثة سرقة استراحة,نورة النفيسة,17/11/2021,Wednesday,3:15,استراحة,الرياض, حطين, العليا,جهاز منزلي,"النوع كنب, اللون أصفر",لا,غير معروف," $28,303.00 ",مجهول,لا,معروف,لا,بيضاء,صومالي ,27-32,لا,,أنا نورة النفيسة أرغب بالتبليغ عن حادثة سرقة استراحة تمت السرقة في تاريخ 44517 الوقت 03:15 في حي حطين شارع العليا تمت سرقة جهاز منزلي بقيمة 28303 ريال سعودي
حادثة سرقة شقة,هاجر العقيل,25/10/2021,Monday,14:35,شقة,الرياض, الياسمين, الملك فهد,ذهب,"النوع عقد, العيار 24",نعم,تسلق الجدار," $79,052.00 ",مجهول,نعم,معروف,لا,بيضاء,هندي,33-50,لا,,أنا هاجر العقيل أرغب بالتبليغ عن حادثة سرقة شقة تمت السرقة في تاريخ 44494 الوقت 14:35 في حي الياسمين شارع الملك فهد تمت سرقة ذهب بقيمة 79052 ريال سعودي
حادثة سرقة قصر,فاطمة الجريش,04/09/2021,Saturday,18:31,قصر,الرياض, الملك فيصل, الأمير ناصر بن عبد العزيز,مبلغ مادي,المبلغ 2385,لا,كسر الباب," $2,385.00 ",مجهول,لا,مجهول,نعم,حنطية,غير معروف,15-20,لا,,أنا فاطمة الجريش أرغب بالتبليغ عن حادثة سرقة قصر تمت السرقة في تاريخ 44443 الوقت 18:31 في حي الملك فيصل شارع الأمير ناصر بن عبد العزيز تمت سرقة مبلغ مادي بقيمة 2385 ريال سعودي
حادثة سرقة قصر,نورة الطاسان,13/03/2021,Saturday,9:30,قصر,الرياض, الملك عبد العزيز, الأمير ماجد بن عبد العزيز,سيارة,"النوع هاتش باك, اللون أزرق",نعم,وجود مفتاح ," $86,198.00 ",معروف,لا,معروف,نعم,حنطية,هندي,15-20,نعم,,أنا نورة الطاسان أرغب بالتبليغ عن حادثة سرقة قصر تمت السرقة في تاريخ 44268 الوقت 09:30 في حي الملك عبد العزيز شارع الأمير ماجد بن عبد العزيز تمت سرقة سيارة بقيمة 86198 ريال سعودي
حادثة سرقة شقة,سعود المشيقح,20/04/2021,Tuesday,22:41,شقة,الرياض, السليمانية, الأمير سعود بن محمد بن مقرن,ذهب,"النوع سبيكة, العيار 22",نعم,كسر الباب," $4,700.00 ",مجهول,نعم,معروف,نعم,حنطية,مصري,50+,لا,,أنا سعود المشيقح أرغب بالتبليغ عن حادثة سرقة شقة تمت السرقة في تاريخ 44306 الوقت 22:41 في حي السليمانية شارع الأمير سعود بن محمد بن مقرن تمت سرقة ذهب بقيمة 4700 ريال سعودي
حادثة سرقة منزل,ندى الطاسان,11/08/2021,Wednesday,23:43,منزل,الرياض, المحمدية, الإمام سعود بن عبد العزيز بن محمد,جهاز منزلي,"النوع كنب, اللون أبيض",لا,كسر الباب," $89,503.00 ",مجهول,لا,معروف,نعم,سمراء,غير معروف,27-32,لا,,أنا ندى الطاسان أرغب بالتبليغ عن حادثة سرقة منزل تمت السرقة في تاريخ 44419 الوقت 23:43 في حي المحمدية شارع الإمام سعود بن عبد العزيز بن محمد تمت سرقة جهاز منزلي بقيمة 89503 ريال سعودي
حادثة سرقة استراحة,لطيفة القعود,28/04/2021,Wednesday,18:52,استراحة,الرياض, النهضة, الأمير نايف بن عبد العزيز,مبلغ مادي,المبلغ 77540,نعم,كسر الباب," $77,540.00 ",معروف,لا,مجهول,لا,بيضاء,بنقالي,15-20,لا,,أنا لطيفة القعود أرغب بالتبليغ عن حادثة سرقة استراحة تمت السرقة في تاريخ 44314 الوقت 18:52 في حي النهضة شارع الأمير نايف بن عبد العزيز تمت سرقة مبلغ مادي بقيمة 77540 ريال سعودي
حادثة سرقة منزل,سعود المالك,22/07/2021,Thursday,14:24,منزل,الرياض, القيروان, الأمير سلمان بن محمد بن سعود,سيارة,"النوع هاتش باك, اللون أزرق",نعم,كسر الباب," $87,024.00 ",مشكوك فيه,نعم,مجهول,لا,بيضاء,بنقالي,33-50,نعم,,أنا سعود المالك أرغب بالتبليغ عن حادثة سرقة منزل تمت السرقة في تاريخ 44399 الوقت 14:24 في حي القيروان شارع الأمير سلمان بن محمد بن سعود تمت سرقة سيارة بقيمة 87024 ريال سعودي
حادثة سرقة قصر,هند الجريش,11/09/2021,Saturday,0:44,قصر,الرياض, بنبان, الشيخ جابر الأحمد الصباح,مبلغ مادي,المبلغ 29225,نعم,تسلق الجدار," $29,225.00 ",مجهول,لا,معروف,لا,بيضاء,هندي,21-26,نعم,,أنا هند الجريش أرغب بالتبليغ عن حادثة سرقة قصر تمت السرقة في تاريخ 44450 الوقت 00:44 في حي بنبان شارع الشيخ جابر الأحمد الصباح تمت سرقة مبلغ مادي بقيمة 29225 ريال سعودي
حادثة سرقة قصر,سعود الطاسان,21/11/2021,Sunday,4:59,قصر,الرياض, القيروان, الحسن بن علي,جهاز منزلي,"النوع غسالة, اللون برتقالي",لا,غير معروف," $37,593.00 ",مجهول,نعم,معروف,لا,حنطية,غير معروف,33-50,نعم,,أنا سعود الطاسان أرغب بالتبليغ عن حادثة سرقة قصر تمت السرقة في تاريخ 44521 الوقت 04:59 في حي القيروان شارع الحسن بن علي تمت سرقة جهاز منزلي بقيمة 37593 ريال سعودي
حادثة سرقة قصر,محمد المقرن,19/09/2021,Sunday,3:12,قصر,الرياض, العليا, الأمير بدر بن عبد العزيز,سيارة,"النوع سيدان, اللون كحلي",نعم,غير معروف," $52,135.00 ",مشكوك فيه,لا,معروف,نعم,بيضاء,غير معروف,27-32,لا,,أنا محمد المقرن أرغب بالتبليغ عن حادثة سرقة قصر تمت السرقة في تاريخ 44458 الوقت 03:12 في حي العليا شارع الأمير بدر بن عبد العزيز تمت سرقة سيارة بقيمة 52135 ريال سعودي
حادثة سرقة منزل,سعد العقيل,28/11/2021,Sunday,11:06,منزل,الرياض, القدس, الدائري (الرياض),سيارة,"النوع فان, اللون أزرق",لا,تسلق الجدار," $83,746.00 ",معروف,لا,معروف,لا,سمراء,غير معروف,50+,لا,,أنا سعد العقيل أرغب بالتبليغ عن حادثة سرقة منزل تمت السرقة في تاريخ 44528 الوقت 11:06 في حي القدس شارع الدائري (الرياض) تمت سرقة سيارة بقيمة 83746 ريال سعودي
حادثة سرقة استراحة,تركي المشيقح,11/03/2021,Thursday,19:44,استراحة,الرياض, غرناطة, أبي بكر الصديق (الرياض),سيارة,"النوع سيدان, اللون كحلي",لا,غير معروف," $37,423.00 ",معروف,نعم,مجهول,نعم,حنطية,هندي,15-20,لا,,أنا تركي المشيقح أرغب بالتبليغ عن حادثة سرقة استراحة تمت السرقة في تاريخ 44266 الوقت 19:44 في حي غرناطة شارع أبي بكر الصديق (الرياض) تمت سرقة سيارة بقيمة 37423 ريال سعودي
حادثة سرقة قصر,نورة الشلهوب,11/02/2021,Thursday,8:40,قصر,الرياض, أم الحمام الشرقي, الملك فهد,ذهب,"النوع سبيكة, العيار ",نعم,كسر الباب," $31,185.00 ",مشكوك فيه,نعم,مجهول,نعم,حنطية,غير معروف,27-32,نعم,,أنا نورة الشلهوب أرغب بالتبليغ عن حادثة سرقة قصر تمت السرقة في تاريخ 44238 الوقت 08:40 في حي أم الحمام الشرقي شارع الملك فهد تمت سرقة ذهب بقيمة 31185 ريال سعودي
